,0,1
164,player_2_hero_76,0.03217433653420959
151,player_1_hero_40,0.032277589741682135
259,hero79_team_radiant,0.0325224390435858
104,player_8_hero_108,0.03329436609170984
221,hero42_team_dire,0.03382133814946514
223,hero57_team_radiant,0.03382348138810183
377,item_28_player2,0.033952973914641846
239,hero29_team_dire,0.034095376929844705
371,item_32_player1,0.03440536671515933
280,hero40_team_radiant,0.034891992197980407
242,hero25_team_dire,0.03491282219005906
222,hero51_team_radiant,0.03495534519739438
268,hero55_team_radiant,0.03514394570692332
228,hero14_team_dire,0.03714961604912974
3,player_2_hero_26,0.03727674387283482
367,item_32_player3,0.0374709787827366
384,item_15_player1,0.037769221710604504
29,player_5_hero_93,0.037975156005954566
115,player_1_hero_76,0.03844479068451054
73,player_7_hero_17,0.038463048880378534
161,player_4_hero_15,0.03846517403666038
322,lh_player_4_600,0.0399216243293717
241,hero44_team_dire,0.03992222664931035
324,lh_player_6_600,0.04037813201047409
123,player_1_hero_60,0.0404758907679329
258,hero23_team_dire,0.040596128637035656
157,player_3_hero_15,0.040623708391145846
68,player_1_hero_92,0.04168682956043779
13,player_3_hero_93,0.04274279977630624
269,hero62_team_dire,0.04316803268844778
361,item_27_player3,0.04334825505150511
360,item_33_player2,0.04412947114802521
213,hero17_team_radiant,0.04438902101294361
255,hero23_team_radiant,0.044997444459690145
292,hero20_team_dire,0.04541670012669054
136,player_2_hero_32,0.046968277532956904
342,item_19_player0,0.04725061950255126
275,hero10_team_radiant,0.04792621174974004
198,player_1_hero_29,0.04795829943136962
138,player_6_hero_80,0.048904953131038355
378,item_28_player3,0.050069803295926495
182,player_0_hero_34,0.05075815563165835
176,player_2_hero_15,0.05094552254893418
349,item_27_player1,0.05097017361476963
86,player_0_hero_16,0.05185012093490522
165,player_1_hero_7,0.05277876596518498
294,hero77_team_dire,0.052973914288957945
276,hero72_team_dire,0.053477658200227395
320,lh_player_2_600,0.05349154918806891
216,hero31_team_radiant,0.055426289150280264
238,hero103_team_radiant,0.0562782165899539
174,player_9_hero_44,0.056814238127870134
357,item_53_player3,0.05843008991626404
279,hero35_team_radiant,0.05847924578132359
248,hero9_team_radiant,0.06130970443686347
364,item_53_player7,0.06191240171645249
285,hero89_team_radiant,0.06295388566953303
212,hero96_team_dire,0.06665837426056548
375,item_48_player3,0.07562469109095105
220,hero2_team_dire,0.0757602632356459
261,hero8_team_dire,0.07659933827808132
251,hero18_team_dire,0.07968681565780605
281,hero12_team_radiant,0.08359052231095124
291,hero58_team_radiant,0.08507250773925522
366,item_53_player2,0.08508603942938617
334,dire_event_type_6,0.08518361337898553
372,item_98_player0,0.08599497724222518
200,hero38_team_dire,0.09008241287879057
359,item_98_player1,0.09997355912056914
290,hero52_team_dire,0.10849585627274225
169,player_4_hero_65,0.11721156710229426
184,player_0_hero_65,0.11898569813847457
298,xp_player_0_600,0.12168256442616443
300,xp_player_2_600,0.12331117306922666
301,xp_player_3_600,0.12368860863008624
190,player_2_hero_65,0.1323741440030839
196,player_3_hero_65,0.13639999868220254
185,player_1_hero_65,0.141213774788897
288,hero67_team_dire,0.14548372460877085
293,hero49_team_radiant,0.14865677387473433
302,xp_player_4_600,0.15159348356889304
299,xp_player_1_600,0.15514944944197406
287,hero100_team_radiant,0.15665065947307716
312,p2_gold_player_4_600,0.20618393284325462
309,p2_gold_player_1_600,0.21366209818919224
310,p2_gold_player_2_600,0.22353815265675075
311,p2_gold_player_3_600,0.23796240476713254
308,p2_gold_player_0_600,0.2526050606331119
