iter	Passed	Remaining
327	232404	476145
328	233298	475815
329	234169	475434
330	235123	475220
331	235892	474627
332	236681	474074
333	237591	473760
334	238528	473496
335	239463	473225
336	240378	472910
337	241376	472755
338	242312	472473
339	243203	472100
340	244028	471598
341	244836	471059
342	245704	470635
343	246636	470330
344	247539	469966
345	248415	469548
346	249235	469022
347	250023	468434
348	250948	468101
349	251873	467764
350	252730	467299
351	253544	466751
352	254459	466388
353	255280	465850
354	256035	465191
355	256922	464769
356	257676	464106
357	258648	463833
358	259464	463278
359	260358	462860
360	261112	462191
361	261955	461678
362	262810	461185
363	263688	460730
364	264644	460409
365	265514	459934
366	266482	459627
367	267292	459045
368	268206	458641
369	268999	458026
370	269913	457616
371	270773	457112
372	271670	456668
373	272591	456262
374	273408	455680
375	274297	455217
376	274871	454231
377	275690	453649
378	276606	453226
379	277514	452786
380	278359	452243
381	279159	451624
382	279981	451039
383	280808	450464
384	281724	450028
385	282658	449618
386	283454	448986
387	284360	448527
388	285242	448028
389	286141	447554
390	287064	447115
391	287880	446508
392	288684	445881
393	289564	445371
394	290462	444886
395	291419	444488
396	292364	444070
397	293178	443451
398	293969	442796
399	294784	442177
400	295628	441599
401	296540	441122
402	297429	440609
403	298384	440191
404	299190	439552
405	300075	439026
406	300979	438528
407	301899	438050
408	302859	437628
409	303816	437199
410	304691	436650
411	305499	436004
412	306439	435544
413	307364	435062
414	308140	434366
415	309006	433798
416	309901	433268
417	310839	432795
418	311711	432230
419	312671	431783
420	313481	431129
421	314336	430536
422	315252	430025
423	315994	429274
424	316927	428784
425	317746	428136
426	318572	427498
427	319456	426937
428	320299	426319
429	321101	425646
430	321576	424540
431	322248	423697
432	323042	423014
433	323883	422391
434	324804	421873
435	325660	421267
436	326497	420637
437	327318	419983
438	328180	419383
439	329001	418728
440	329870	418134
441	330753	417557
442	331639	416982
443	332536	416419
444	333423	415842
445	334342	415304
446	335163	414643
447	336108	414133
448	337014	413574
449	337933	413029
450	338888	412527
451	339665	411807
452	340534	411196
453	341480	410679
454	342439	410175
455	343446	409726
456	344368	409173
457	345186	408495
458	346107	407939
459	347013	407363
460	347894	406756
461	348722	406088
462	349627	405507
463	350577	404977
464	351396	404295
465	352187	403579
466	353055	402952
467	353967	402373
468	354777	401678
469	355320	400680
470	355986	399823
471	356850	399188
472	357629	398458
473	358536	397869
474	359402	397234
475	360284	396615
476	361100	395923
477	362008	395331
478	362669	394469
479	363551	393847
480	364415	393204
481	365387	392677
482	366301	392086
483	367261	391542
484	367905	390662
485	368797	390044
486	369690	389427
487	370570	388795
488	371437	388148
489	372326	387523
490	373177	386858
491	374075	386240
492	374968	385616
493	375765	384893
494	376636	384244
495	377484	383572
496	378413	382981
497	379196	382242
498	380010	381533
499	380606	380606
500	381478	379955
501	382447	379399
502	383271	378699
503	384263	378164
504	385194	377566
505	386017	376863
506	386873	376190
507	387821	375607
508	388742	374995
509	389638	374358
510	390524	373711
511	391431	373083
512	392239	372359
513	393068	371656
514	393783	370844
515	394625	370152
516	395563	369549
517	396468	368914
518	397346	368253
519	398266	367630
520	399153	366976
521	400007	366290
522	400905	365643
523	401826	365018
524	402619	364275
525	403525	363633
526	404334	362903
527	405247	362267
528	406208	361671
529	407120	361031
530	407832	360213
531	408757	359583
532	409612	358891
533	410528	358251
534	411426	357594
535	412255	356878
536	413208	356266
537	414094	355597
538	414990	354936
539	415948	354326
540	416827	353648
541	417798	353047
542	418594	352297
543	419454	351601
544	420333	350920
545	421148	350185
546	422046	349519
547	422950	348857
548	423723	348086
549	424545	347355
550	425388	346641
551	426342	346017
552	427212	345323
553	428086	344632
554	428915	343905
555	429799	343221
556	430694	342544
557	431510	341805
558	432383	341111
559	433292	340444
560	434169	339750
561	435087	339089
562	435960	338392
563	436676	337572
564	437472	336815
565	438263	336053
566	439076	335309
567	439911	334580
568	440779	333876
569	441716	333224
570	442657	332574
571	443413	331784
572	444315	331104
573	445094	330331
574	445895	329574
575	446699	328820
576	447618	328150
577	448476	327434
578	449347	326727
579	450217	326019
580	451154	325359
581	452052	324670
582	452954	323982
583	453621	323127
584	454569	322472
585	455386	321723
586	456220	320986
587	457114	320291
588	458041	319617
589	458867	318873
590	459653	318102
591	460525	317388
592	461423	316693
593	462355	316020
594	463251	315322
595	464138	314617
596	464920	313840
597	465669	313042
598	466492	312293
599	467425	311616
600	468166	310812
601	468938	310029
602	469853	309339
603	470710	308611
604	471598	307902
605	472411	307145
606	473301	306437
607	474180	305721
608	475155	305067
609	475981	304316
610	476810	303566
611	477714	302864
612	478544	302115
613	479481	301433
614	480471	300783
615	481230	299987
616	482104	299264
617	483008	298558
618	483687	297713
619	484684	297064
620	485527	296320
621	486365	295572
622	487247	294851
623	488218	294183
624	489074	293444
625	489862	292665
626	490680	291903
627	491490	291137
628	492159	290288
629	492955	289513
630	493844	288793
631	494420	287890
632	495251	287136
633	496136	286413
634	497049	285705
635	498064	285055
636	498940	284325
637	499775	283571
638	500691	282863
639	501546	282119
640	502347	281346
641	503159	280578
642	503955	279801
643	504828	279066
644	505729	278347
645	506646	277635
646	507544	276913
647	508539	276243
648	509359	275478
649	510302	274778
650	511127	274014
651	511948	273248
652	512831	272515
653	513678	271762
654	514579	271037
655	515274	270204
656	516073	269426
657	516927	268676
658	517812	267942
659	518617	267166
660	519438	266399
661	520362	265683
662	521239	264943
663	522126	264208
664	522971	263451
665	523860	262716
666	524770	261991
667	525570	261211
668	526368	260430
669	527279	259704
670	528142	258955
671	528953	258179
672	529848	257445
673	530606	256643
674	531309	255815
675	532153	255055
676	532988	254291
677	533676	253456
678	534555	252713
679	535472	251987
680	536357	251245
681	537198	250482
682	538124	249758
683	538885	248958
684	539715	248190
685	540586	247440
686	541389	246659
687	542187	245875
688	543030	245112
689	543896	244359
690	544707	243581
691	545529	242807
692	546477	242090
693	547352	241340
694	548145	240552
695	549032	239807
696	549837	239025
697	550633	238239
698	551499	237483
699	552450	236764
700	553330	236013
701	554112	235221
702	554862	234415
703	555503	233564
704	556336	232793
705	557159	232018
706	558086	231286
707	558884	230500
708	559595	229678
709	560406	228898
710	561217	228118
711	562119	227374
712	562943	226598
713	563786	225830
714	564737	225105
715	565618	224351
716	566505	223599
717	567442	222867
718	568243	222081
719	569183	221349
720	570009	220572
721	570983	219852
722	571868	219097
723	572857	218382
724	573595	217570
725	574409	216788
726	575293	216031
727	576247	215301
728	577163	214555
729	578053	213800
730	578876	213020
731	579863	212299
732	580770	211549
733	581664	210794
734	582348	209962
735	583180	209184
736	583989	208398
737	584871	207637
738	585823	206901
739	586683	206132
740	587516	205353
741	588337	204570
742	589250	203818
743	589870	202966
744	590715	202191
745	591524	201403
746	592385	200633
747	593331	199892
748	594201	199124
749	595110	198370
750	595906	197577
751	596720	196790
752	597599	196025
753	598423	195241
754	599345	194489
755	600197	193714
756	601056	192941
757	601970	192185
758	602849	191418
759	603766	190663
760	604615	189885
761	605430	189097
762	606202	188296
763	607135	187544
764	608023	186778
765	608886	186004
766	609726	185223
767	610564	184441
768	611327	183636
769	612200	182865
770	613097	182100
771	613911	181310
772	614793	180541
773	615710	179781
774	616582	179007
775	617379	178212
776	618239	177435
777	619039	176641
778	619811	175838
779	620627	175048
780	621465	174265
781	622368	173499
782	623195	172711
783	623926	171897
784	624668	171087
785	625602	170329
786	626394	169532
787	627259	168755
788	628119	167976
789	628999	167202
790	629871	166426
791	630739	165648
792	631582	164864
793	632325	164054
794	633134	163261
795	633999	162482
796	634868	161704
797	635544	160877
798	636421	160101
799	637221	159305
800	637928	158486
801	638833	157717
802	639748	156949
803	640543	156152
804	641506	155396
805	642392	154620
806	643232	153833
807	644110	153056
808	644768	152226
809	645581	151432
810	646317	150621
811	647118	149825
812	647935	149033
813	648736	148237
814	649680	147473
815	650480	146676
816	651366	145899
817	652315	145136
818	653083	144332
819	653934	143546
820	654872	142779
821	655778	142005
822	656612	141215
823	657497	140436
824	658286	139636
825	659080	138837
826	659930	138050
827	660798	137267
828	661723	136495
829	662635	135720
830	663508	134937
831	664291	134135
832	665172	133353
833	666063	132573
834	666989	131800
835	667862	131016
836	668714	130227
837	669530	129431
838	670350	128636
839	671126	127833
840	672004	127049
841	672925	126273
842	673751	125479
843	674702	124708
844	675627	123931
845	676575	123159
846	677453	122373
847	678325	121586
848	679038	120771
849	679890	119980
850	680783	119197
851	681670	118412
852	682668	117646
853	683502	116851
854	684399	116067
855	685306	115285
856	686125	114487
857	686914	113685
858	687882	112911
859	688770	112125
860	689563	111323
861	690316	110514
862	691138	109717
863	692068	108936
864	692919	108143
865	693804	107355
866	694634	106558
867	695557	105775
868	696483	104993
869	697307	104195
870	698203	103407
871	699011	102607
872	699881	101815
873	700696	101015
874	701641	100234
875	702604	99455
876	703415	98654
877	704247	97856
878	705015	97049
879	705855	96252
880	706809	95471
881	707676	94677
882	708617	93893
883	709403	93089
884	710209	92287
885	711125	91499
886	712112	90720
887	712993	89927
888	713675	89109
889	714632	88325
890	715338	87510
891	716144	86708
892	716969	85907
893	717851	85114
894	718713	84318
895	719603	83525
896	720490	82731
897	721081	81904
898	721898	81103
899	722703	80300
900	723506	79497
901	724470	78711
902	725343	77916
903	726228	77121
904	727096	76325
905	727981	75530
906	728728	74720
907	729404	73904
908	730197	73100
909	731078	72304
910	731961	71508
911	732557	70685
912	733353	69881
913	734175	69079
914	735100	68288
915	736022	67495
916	736956	66703
917	737879	65910
918	738786	65116
919	739670	64319
920	740542	63521
921	741454	62726
922	742244	61920
923	743094	61120
924	743868	60313
925	744628	59505
926	745484	58705
927	746423	57912
928	747351	57117
929	748209	56316
930	749095	55518
931	749983	54719
932	750798	53915
933	751718	53119
934	752659	52323
935	753562	51525
936	754304	50716
937	755200	49917
938	756085	49117
939	757046	48322
940	757934	47521
941	758882	46725
942	759745	45923
943	760565	45118
944	761528	44321
945	762434	43521
946	763340	42721
947	764175	41916
948	765126	41118
949	765881	40309
950	766555	39496
951	767424	38693
952	768372	37894
953	769225	37090
954	770073	36286
955	770901	35480
956	771874	34681
957	772677	33875
958	773560	33071
959	774374	32265
960	775215	31460
961	776178	30659
962	777084	29856
963	778030	29055
964	778893	28250
965	779828	27447
966	780723	26643
967	781491	25834
968	782182	25023
969	782797	24210
970	783556	23401
971	784456	22597
972	785424	21794
973	786254	20988
974	787197	20184
975	788042	19378
976	788937	18572
977	789764	17765
978	790539	16957
979	791165	16146
980	792048	15340
981	792799	14531
982	793623	13724
983	794492	12918
984	795297	12111
985	796165	11304
986	797056	10498
987	797941	9691
988	798754	8884
989	799681	8077
990	800499	7269
991	801386	6462
992	802287	5655
993	803157	4848
994	804108	4040
995	804964	3232
996	805771	2424
997	806692	1616
998	807488	808
999	808357	0
